GEOID,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,pop,nmiss,flag_pop_lt20,flag_missing_var
36081038301,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005027600,0.458,0.167,0.5,0.222222222222222,0,0,0,0,1,0,,0.5,,0,1,0.2542,0,0.5,1,40.7118013333569,0,0,,1,0,0,0,24,3,0,1
36061029700,0.091,0.091,,0.136363636363636,0,0.318181818181818,0.227272727272727,,,,,,,,,,,0.8,,60.0977287917749,1,,,,,,,22,18,0,1
36061031100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081017100,0.02,0,0,0,0,0.254901960784314,0.254901960784314,0,,0.714285714285714,,0.518518518518519,,0.183673469387755,0.551020408163265,0.0448,0,0,0,105.760014880692,0.215686274509804,0,,1,1,0.35,0,51,4,0,1
36005018101,0.303,0.081,0.304060434372049,0.19244783040742,0.183178902352103,0.392420173082662,0.210981796478663,0.14,0.673036093418259,0.808018504240555,60335,0.220018885741265,,0.30865671641791,0.683937823834197,0.4928,0.0669117647058824,0.364872213159326,0.664610639938319,112385.079605512,0.0062667860340197,0.203966005665722,80,0.975653742110009,0.504959422903517,0.0841813135985199,0.0450856627592426,3351,1,0,1
36081128300,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047001800,0,0.009,,0.10173958882446,0.137992831541219,0.244069583552978,0.192409066947812,,,,,,,,,,,0.357266936884771,,2432.07623380166,1,,,,,,,1897,18,0,1
36081042600,0,0.614,,0.0754716981132076,0.0344827586206897,0.153039832285115,0.0251572327044025,0.516,,1,,,,1,0.478260869565217,,0,0.303225806451613,,2368.03338376969,1,,,,,,,477,13,0,1
36047114201,0.255,0.113,0.116402116402116,0.185034013605442,0.215602836879433,0.431145431145431,0.214929214929215,0.156,0.475409836065574,0.577741407528642,22850,0.324514991181658,,0.313111545988258,0.516962843295638,0.4969,0.0165016501650165,0.248508946322068,0.283142389525368,13375.2102679341,0.00772200772200772,0.0899470899470899,80,0.833333333333333,0.0792079207920792,0.0207522697795071,0.0643564356435644,1554,1,0,1
36047070202,0,0,0,0,1,1,1,0,,0.5,,0,,0,0,,0,0,1,4.0135914316403,0,0,,1,1,0,0,8,5,1,1
36005002400,0.206,0,0,0,0.422222222222222,0.580645161290323,0.580645161290323,0,1,1,,0,,0,0.268292682926829,,0,0,1,593.936416327741,0,0,,1,1,0,0,155,4,0,1
36061009600,0,0.119,0,0.0225988700564972,0.379310344827586,0.440677966101695,0.186440677966102,0.045,,0.981132075471698,3320,0.6875,130500,0,0.0754716981132076,0.4873,0.0320512820512821,0.0225988700564972,0.905660377358491,2614.65747746022,0,0,18,0.98015873015873,0.678571428571429,0.248587570621469,0.492063492063492,177,1,0,1
36081071600,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081064102,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081022900,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005028400,0.014,0.487,0,0.0163636363636364,0,0.117328519855596,0.0469314079422383,0.744,,1,650,0,,0.596330275229358,0.722222222222222,,0.181818181818182,0.285714285714286,1,1275.77566914486,0.96028880866426,1,,1,0,0,0,554,4,0,1
36081056100,0,0.471,0,0.470588235294118,0,0.705882352941177,0.470588235294118,0,,1,,0,,0,0.444444444444444,0.2878,0,0,0,15.5632864082365,0,0,,1,1,0,0,17,4,1,1
